country,year,log_asdr
Romania,2011,-0.2859606707922026
Romania,2012,-0.2753758782414931
Romania,2013,-0.3119457836792535
Romania,2014,-0.2907270888245769
Romania,2015,-0.3068481834613509
Romania,2016,-0.3322393722153496
Romania,2017,-0.3204757002240609
Romania,2018,-0.2852835210524102
Uruguay,1992,-2.3319140427947365
Uruguay,1993,-2.350050500666731
Uruguay,1994,-2.295566664435463
Uruguay,1995,-2.221128263913002
Uruguay,1996,-2.0964951310178117
Uruguay,1997,-1.7701465254828754
Uruguay,1998,-1.6738623248799431
Uruguay,1999,-1.64580565491784
Uruguay,2000,-1.668037085671471
Uruguay,2001,-1.607063191413999
Uruguay,2002,-1.539159436529362
Uruguay,2003,-1.5354175755633763
Uruguay,2004,-1.5130555207281324
Uruguay,2005,-1.4869816690057058
Uruguay,2006,-1.439567784866051
Uruguay,2007,-1.345034489633211
Uruguay,2008,-1.3560946500421194
Uruguay,2009,-1.3264400908463876
Uruguay,2010,-1.2922771327387945
Uruguay,2011,-1.2520701040440116
Uruguay,2012,-1.2535343575826259
Uruguay,2013,-1.2663952529343838
Uruguay,2014,-1.2716905519061603
Uruguay,2015,-1.2464637063243524
Uruguay,2016,-1.2090618882665014
Uruguay,2017,-1.1404889205318625
Uruguay,2018,-1.075218976624326
Lithuania,1992,0.6016909582530867
Lithuania,1993,0.7428488646345228
Lithuania,1994,0.8493196454666742
Lithuania,1995,0.8415550159297495
Lithuania,1996,0.7904360654163475
Lithuania,1997,0.7486340831958247
Lithuania,1998,0.7608203161702181
Lithuania,1999,0.7524717974690986
Lithuania,2000,0.7816508978173022
Lithuania,2001,0.8326111299140199
Lithuania,2002,0.804428414459951
Lithuania,2003,0.8634012621247634
Lithuania,2004,0.9435968243518273
Lithuania,2005,1.1123842451453536
Lithuania,2006,1.2381029741238796
Lithuania,2007,1.3200287724250999
Lithuania,2008,1.256272648130191
Lithuania,2009,1.0861336941475892
Lithuania,2010,1.0177070221934752
Lithuania,2011,0.9735264409404641
Lithuania,2012,1.0102641828054177
Lithuania,2013,1.0618412627128502
Lithuania,2014,1.0909715254178232
Lithuania,2015,1.131376572222145
Lithuania,2016,1.1259925109578217
Lithuania,2017,1.0166544620457367
Lithuania,2018,0.9879141407929114
Netherlands,1992,-0.6897017671566533
Netherlands,1993,-0.644058323376066
Netherlands,1994,-0.6252292368703609
Netherlands,1995,-0.5815669763500588
Netherlands,1996,-0.5013384592530996
Netherlands,1997,-0.4669936140648642
Netherlands,1998,-0.40861918674200015
Netherlands,1999,-0.3411845663515554
Netherlands,2000,-0.2865500773027085
Netherlands,2001,-0.2647526765109013
Netherlands,2002,-0.2751414865318204
Netherlands,2003,-0.2780798637020641
Netherlands,2004,-0.2729381607583306
Netherlands,2005,-0.2957377640863473
Netherlands,2006,-0.30372016080753383
Netherlands,2007,-0.28521540864759354
Netherlands,2008,-0.23540216269324293
Netherlands,2009,-0.22748230756622762
Netherlands,2010,-0.24034561550103303
Netherlands,2011,-0.2226591104404415
Netherlands,2012,-0.19288197191725945
Netherlands,2013,-0.171938387876959
Netherlands,2014,-0.1420354851393561
Netherlands,2015,-0.0678444984806479
Netherlands,2016,0.009200551124020228
Netherlands,2017,0.0503490149442086
Netherlands,2018,0.07164921667514676
Sweden,1992,0.1390843239374724
Sweden,1993,0.22603169189245287
Sweden,1994,0.27468664799309567
Sweden,1995,0.37399943285750953
Sweden,1996,0.49879172249144
Sweden,1997,0.6268747712397607
Sweden,1998,0.7305877378656224
Sweden,1999,0.8341133408254191
Sweden,2000,0.9096298965569988
Sweden,2001,0.9181073222264585
Sweden,2002,0.8789679880916373
